,col
631,"Едут в купе четверо - мама с дочкой лет 16, прапорщик и рядовой. Заезжает поезд в тоннель и раздается звук такой смачной пощечины. Мама думает:
— Надо же, какая дочь молодец. Такая молодая, а уже мужчинам отпор умеет дать.
Дочь думает:
— Надо же, какая мама у меня молодец. Столько лет без мужика, а все равно не позволяет просто так приставать. 
Прапор думает:
— Надо же, несправедливость какая. Рядовой пристает, а я огребаю.
Рядовой думает:
— В следующий раз в тоннель заедем, я опять ему ёбну."
632,"— Милый, я хочу, чтобы мы умерли в один день! 
— Дед, как же ты заебал!"
633,"Мать собирает портфель сыну в школу.
— Вот, я тебе тут положила хлеба, колбасы и килограмм ржавых гвоздей.
— Зачем?
— Ну как зачем? Вот ты в школе проголодаешься, хлеб возьмешь, колбасу на него положишь и поешь.
— А гвозди?
— Да вот же, положила!"
634,"Бабка на старости лет решила застрелиться. А где точно сердце находится — не знает. Приходит она к врачу, он ей и отвечает:
- Сердце находится на 2 пальца ниже соска. Вернулась домой, взяла пистолет, выстрелила... Прибыла скорая. 
Кто-то из прохожих спрашивает:
- Что случилось-то?
- Да бабка себе колено прострелила!"
635,"Сидит грузин на базаре, торгует апельсинами. Подходит к нему девушка в короткой юбке и таким нежным голосом говорит:
— А сколько у вас стоят апельсины?
Грузин:
— Дэсят рублэй кылограм.
Она, задирая юбку выше:
— А так? 
Он, опуская руку под прилавок:
— Восэм рублэй.
Она поднимает юбку еще выше, грузин: «шэст рублэй», она поднимает еще выше, он: «тры рубля», она поднимает еще выше... Грузин, вынимая руку из-под прилавка и вытирая ее об тряпку:
— Дэсят рублэй кылограм."
636,"— Папа, знакомься, это Александр.
— Проходите, Александр, отобедайте с нами!
— Папа, Александр сыт.
— Что вы, Александр, не ссыте, проходите."
637,Дай человеку жареного мяса и он будет сыт один день. Дай человеку имя Сыт и он будет Сыт всегда.
638,"В школе идёт урок труда у девочек 5-го класса. Учительница начинает:
- Сегодня у нас непростая тема: ""Выворачивание канта наизнанку"".
Тут одна из учениц тянет руку.
- Ну что такое, Сидорова? Опять у тебя какой-то вопрос?
- Да, Мариванна. Это что же такое получается: нравственный закон над головой, а звёздное небо внутри нас?"
639,"Проходит конкурс кто больше надрочит. Выступают американец, русский и украинец.
Американец просит литровую бутылку и уходит в комнату. Возвращается - надрочил пол-литра.
Русский просит пятилитрушку и уходит. Возвращается - надрочил 3 литра.
Украинец просит ведро и уходит в комнату на день. На следующий день возвращается и говорит: 
- бля, я условия конкурса забыл, но на всякий случай насрал целое ведро."
640,"Играют Каспаров с Крамником в шахматы. У Каспарова позиция уже совсем плохая, но сдаваться не охота. Вот он смотрит в окошко и видит там какую-то собачку. Каспаров:
— Слышь, Володь, чья это собачка бегает?
Крамник:
— Ничья.
Каспаров:
— Согласен."
641,"Игорь попал в глубокую яму и чудом из нее вылез. 
""Чудес не бывает"", — подумал Игорь и залез обратно."
642,"Подходит жених к ребе: 
— Сколько я вам должен за церемонию? Ребе: 
— Лично мне ничего… Но, если так хотите, пожертвуйте столько денег, во сколько вы оцениваете красоту вашей жены. 
Жених подумал, заглянул под фату и достал из кармана один шекель. Ребе подумал, заглянул под фату, вздохнул и достал сдачу."
643,"— Садись, дочка, рассказывай. Как к своему парню съездила? Много гуляли?
— Я постою."
644,"По территории воинской части мчится прапорщик с тележкой, полной дерьма. Его останавливает капитан:
- Стой! Что спиздил?
- Ничего.
- Не верю, - капитан запускает руки в дерьмо и шарит там. Ничего не найдя, отпускает прапорщика. Прапорщик несется дальше. Навстречу ему майор:
- Стой! Что спиздил?
- Ничего.
- Не верю, - майор запускает руки в дерьмо и шарит там, но также ничего не находит. Прапорщик мчится дальше. Навстречу ему полковник:
- Стой! Что спиздил?
- Ничего.
- Я те дам ничего, - полковник запускает руки в дерьмо и шарит там, но тоже ничего не находит. Наконец прапорщик выбегает за ворота части,оглядывается, вываливает из тачки дерьмо и злобно ворчит:
-Что спиздил - что спиздил... Тележку спиздил!"
645,"Два еврея сильно поругались. Через пару дней Изя проходит мимо дома Мойши, и, увидев его в окне, восклицает:
— Ой, вей! Ви только посмотрите - он высунул свою мерзкую рожу в окно! Лучше бы жопу высунул - и то красивее было бы!
— Я таки высовывал, но все сразу начали спрашивать: ""А шо у Вас делает Изя, вы же, вроде, поругались?!"""
646,"Сидят под забором алконавты, пьют метиловый спирт. Разлили по первой, хряпнули, тут один говорит: ""Дима, разливай еще скорей, чё-то на улице быстро темнеет""."
647,"Продолжаем выкладывать топ 15-го года.

Муравей таскает камешки, веточки, строит дом. Подъезжает стрекоза на кабриолете:
— Что делаешь?
— Дом строю.
— А зачем?
— Ну, зима придет, холодно будет, а я в домике согреюсь.
— Ну ладно, строй, а я в ночной клуб поеду. И уехала.
Муравьишка тащит камень и думает: ""Ну ладно. Придет зима — посмотрим...""
Наступила зима. Муравьишка пилит дрова, подъезжает стрекоза вся в мехах:
— Что делаешь?
— Дровишки пилю, холодно, сейчас печку затоплю и согреюсь.
— Да, холодно. А я в аэропорт еду, полечу в Рио–де–Жанейро, там богема вся собирается, художники, писатели, с ними и перезимую.
— А Крылов будет?
— Конечно будет, все собираются.
— Ну, увидишь — передай, что я его маму ебал."
648,"Встретил вчера бывшего одноклассника. В общем, в школе он был толстым — пиздец! Жрал постоянно булки всякие. Ну и прозвали его Пашка-пузырь.
Не виделись лет 10, где-то только слышал, что он после школы в тренажерку стал ходить, качаться неистово, просушился — все дела.
Так вот. Иду около дома, смотрю – машина в сугробе застряла. Водитель и так и сяк – ни в какую. И тут подходит какой-то парень, здоровенный — ну мамонт просто! Приподнимает «шестерку» сзади и она благополучно катится вперед.
Потом захожу в булочную – бааа! А там Пашка-пузырь! Жирный, как черт. Стоит, булку жрет."
649,"На лекции по линейной алгебре. Препод что–то пишет на доске. На последней парте студенты играют в карты. Один из них что–то не так покрыл и второй на всю аудиторию:
— Ты что, совсем охуел?!
Препод:
— Спокойно! Сейчас все объясню."
650,"Студент отвечает на экзамене, фейлится по полной, думает вот-вот на пересдачу отправят, и говорит профессору:
- Профессор, а давайте я за тройку сейчас одной рукой эту парту сломаю?
- Но это невозможно... ладно, давайте.
Студент размахивается и ударяет по парте, она трескается пополам. Профессор:
- Хмм, впечатляет. Ладно, тройку поставлю...
- Подождите, а давайте я за четвёрку головой стену пробью?
- Ну... давайте.
Студент со всей дури бьёт головой о стену, и пробивает её насквозь. Профессор:
- Ну так и быть, ставлю четыре...
- Подождите, а давайте я за пятёрку на вас одеколоном нассу?
- Ну... давайте.
Студент расстёгивает ширинку и обоссыввает профессора. Тот принюхивается:
- Да это же обычная моча!
- Ну ладно, ладно, ставьте четыре."
651,"Два ковбоя увидели объявление: «Принимаем скальпы индейцев. Один скальп — 100$». Не долго думая, ковбои на коней — и в прерию. Скачут, скачут — нигде нет индейцев. Наконец, на ночь глядя, заметили одного индейца, пристрелили его, скальп сняли, затем поставили палатку и заночевали. Утром просыпается один из ковбоев, выходит из палатки и видит: вокруг в боевой раскраске стоит толпа индейцев, все в полной боевой готовности, луки наготове, томагавки подняты. Ковбой сразу же ныряет и в палатку и будит товарища: 
— Джо, вставай! Джо, мы богаты!"
652,"На парижском аэродроме к пилоту подходят два еврея: 
— Послушайте! Вы сейчас в Лондон летите. Возьмите нас. 
— А вы — кто такие?
— Так себе, обыкновенные евреи.
— О-о, евреи! Ни за что не возьму. Евреи — такой эмоциональный народ: начнут кричать, за плечи хватать — ещё катастрофа будет.
— Но мы не будем кричать, ей-Богу! Абраша, правда, не будем?
— Ей-Богу, говорит Абраша,— не будем!
— Ну, я вас возьму, с условием: за каждое сказанное слово —вы платите 1 фунт стерлингов! Согласны?
— Абраша, ты согласен? 
— Согласен!
Сели. Полетели. Прилетели в Лондон, пилот спустился, слез, мотор осматривает. Подходит к нему один из пассажиров: 
— Теперь уже можно разговаривать?
— Теперь можно.
— Абраша в воду упал!"
653,"Встречаются в саванне два мужика, один телефонную будку за собой тащит,
другой с рельсой наперевес. Второй спрашивает первого:
- А ты чё с будкой?
- А я если хищника увижу забираюсь в будку, он походит вокруг
меня и уходит...
А ты чё с рельсой?
- А я вижу лев за мной бежит, я от него. Вижу догоняет!
Я рельсу бросаю и дальше налегке."
654,"В бар забегает мужик, подбегает к стойке и говорит бармену:
— Давай, наливай быстрее, пока не началось.
Бармен наливает, мужик выпивает.
— Давай еще наливай, быстрее, быстрее, пока не началось.
Бармен наливает, мужик выпивает.
— Давай, давай, не спи, наливай еще, пока не началось.
— Мужчина, вы платить то собираетесь?
— Ну вот, блять, начинается."
655,"Бабка с дедом решили поебаться. Что ни делали, у деда не встал! Ну он и говорит: 
— Как встанет, крикну: ""Бабка!"" вставай сразу раком и спускай штаны! 
Ну прошло несколько дней! Бабка в огороде копается, и тут дед несётся и орёт:
— Бабка, бабка! 
Та, думает: ""Ну, видать, встал"". И раком нагнулась, штаны спустила! Дед подбегает и пенделя ей: 
— Тебе лишь бы ебаться, пизда старая, у нас сарай горит!"
656,"Однажды ты спросишь меня, что для меня на первом месте: ты или программирование?
Я отвечу тебе, что программирование.
И ты уйдёшь, так и не узнав, что ты для меня на нулевом месте."
657,"— Изя, а шо, правда, шо ты бандитам отдал все золото и деньги?
— Таки да... Они вставили мне в зад паяльник, а на пузо утюг, и подключили к току!
— И ты сразу отдал?
— А шо, ждать пока за свет накрутит?"
658,"Один мальчик родился с гайкой вместо пупка.
И он спросил у родителей, почему у него там гайка. Родители пообещали ему рассказать об этом на его 14-летие.
Ему исполнилось 14. И он опять подошёл и спросил у родителей, почему у него вместо пупка гайка. Родители пообещали рассказать ему об этом когда ему будет 18 лет.
В 18 лет он спросил снова и родители рассказали ему, что есть один остров на котором растет пальма, а под этой пальмой зарыт сундук.
Парень долго копил денег и всё-таки приехал на этот остров. Нашёл пальму, откопал сундук, в котором лежал гаечный ключ. Он открутил гайку ключом и у него отвалилась Жопа."
659,Зачем французскому танку зеркала заднего вида? Чтобы лучше видеть поле боя.
660,"Одному безработному актёру звонит друг и говорит:
- Слушай, тут халтурка подвернулась, я сразу о тебе подумал.
Актёр:
- Конечно, какой разговор, - типа, по гроб жизни благодарен, совсем на мели. - А что за роль?
- Да понимаешь, не очень большая. Одна строчка.
- Одна строчка? Нет проблем, - типа, ну совсем бабок не осталось,
ничем не брезгует. - А какая?
- ""Чу! Я слышу пушек гром.""
- ""Чу, я слышу пушек гром?"" Годится! Куда идти?
- В среду подойдёшь в Малый, спросишь режиссёра такого-то.
- Замётано.

В среду актёр подходит в Малый, находит режиссёра, тот: скажите строчку, актёр с пафосом произносит:
- Чу! Я слышу пушек гром!
- Отлично, - говорит режиссёр. - Роль ваша. Приходите в субботу к 7 вечера на спектакль.
- Понял! - отвечает радостный актёр.

Ясное дело, от такого удачного поворота судьбы актёр запивает по чёрному. Приходит в себя в субботу где-то в 6:30 и сломя голову бросается в театр, всю дорогу повторяя ""Чу! Я слышу пушек гром"".
У театра его останавливает швейцар: ты, мол, куда без билета?
- Я ""Чу! Я слышу пушек гром"", - объясняет актёр.
- А! Ты ""Чу! Я слышу пушек гром"", - успокаивается швейцар, - ну проходи.
Актёр - за кулисы. Его, ясное дело, не пускают.
- Я ""Чу! Я слышу пушек гром!"", - кричит актёр.
- Ты ""Чу! Я слышу пушек гром""? Опаздываешь! Давай срочно в
гримёрную! - кричат ему в ответ.
Он - в гримёрную. Гримёрша:
- Товарищ, вы кто?
- Я ""Чу! Я слышу пушек гром.""
- Вы ""Чу! Я слышу пушек гром""? Что же вы опаздываете?! Садитесь
вот тут, сейчас я вас быстренько.
Актёр, уже в гриме и в мыле, подбегает к сцене. Его перехватывет режиссёр.
- Ты ""Чу! Я слышу пушек гром""?
- Я ""Чу! Я слышу пушек гром""!
- Чуть не опоздал! Давай, твой выход!
Актёр выходит на сцену, и за спиной у него раздаётся оглушительный взрыв. Актёр вздрагивает и орёт:
- ДА ВЫ ЧТО ТАМ, СОВСЕМ ОХУЕЛИ??!!!"
661,"Умирает Барак Обама.
Через 10 лет ему становится скучно, и он просит Бога отпустить его на Землю проведать, как поживает его страна. Бог отпускает. Заходит Обама в Нью-Йорке в бар, заказывает пиво и спрашивает бармена, как страна поживает, как развивается, какие проблемы решает. Бармен удивлённо:
— Какие проблемы могут быть? Мы же Великая империя, всё кругом наше.
— Как наше? А Ирак, Афганистан?
— Да уже всё наше!
— А Европа, Африка, Ближний Восток?
Бармен достаёт из-под стойки глобус и гордо крутит его:
— Я же говорю: мы — империя, весь мир принадлежит нам!
Обама, радостный, гордый и довольный, допивает пиво и говорит:
— Ну, спасибо, друг! Сколько с меня?
Бармен:
— Одна гривна."
662,"Улица. У магазина стоит коляска. Голос из коляски:
- Ну бля, обоссался! Ну пиздец, еще и обосрался!
Идет мимо мужчина и говорит:
- Мальчик ты еще маленький, ходить не умеешь, а уже матом ругаешься.
- Дядя, а ты ходить умеешь?
- Умею.
- Ну вот и пиздуй отсюдова."
663,"Пpиехал деpевенский мyжик домой из гоpода. Его дpyзья спpашивают: 
- Hy чо тама видал, в ГОРОДЕ ? 
- Cалют видал. 
- А чо эт такое ? 
- Hy как вам объяснить... Hy сначала нет ни хуя, потом хуяк, хуяк, хуяк - еб твою мать, и опять ни хуя. Чо ж ты, Мань, плачешь-то ? 
Маня: 
- А как же не плакать-то, кpасотища-то какая."
664,"У них не было детей. Они купили овчарку и безумно любили её. через 7 лет у них родился сын... Однажды из детской выбежал пёс, его морда была в крови. Жена взвыла, муж достал ружье и убил пса. войдя в детскую, они увидели спящего сына, а возле кроватки убитую змею… 
Через 7 лет у них родился сын... Однажды из детской выбежал отец, его морда была в крови. Змея взвыла, сын достал жену и убил детскую. Войдя в кроватку, они увидели спящее ружьё и убитого пса… 
Через 7 псов у них родилась змея... Однажды из отца выбежал пёс, его детская была в жене. Кроватка взвыла, ружьё достало сына и убило 7 лет. Войдя в овчарку, они увидели, что через 7 лет у них родилась жена."
665,"У одного человека испортился водопровод. Пришел к нему водопроводчик - молодой пацан, только после ПТУ... А y хозяина дочка была - красавица. Она водопроводчику и шепнула:
- Будет батя вина заморские наливать - не пей. Деньги будет сулить - не бери. А проси y него гвоздик ржавый... С собой носи и счастье тебе будет!...
Прифигел парниша, но так и сделал: починил водопровод, от бутылки и от денег отказался, гвоздик взял и ушел. А хозяин дочку обнял и говорит:
- Молодец, Анечка! Здорово мы его наебали!"
666,"Сидит мужик на даче. Хорошо… Смотрит — на дереве яблоко висит. Красивое, наливное.
Сорвал, сел на скамеечку. А кругом — лепота… ""Дай"", — думает, — ""съем яблочко…""
Тут вдруг земля затряслась, задрожала, налетели тучи, гром, шум, пыль, порывы ветра. Земля прямо перед ногами мужика разрывается пополам, из невероятно глубокого разлома вылезает огромная Жопа, заглатывает яблоко, скрывается под землю. И все проходит, разлом исчезает сам собой, тучи улетают, снова светит солнце, птицы поют, пыль рассеивается, мужик в ступоре:
— Что это было?....
Тут опять земля раскалывается, шум, пыль, грохот — вылазит Жопа и говорит мужику:
— Антоновка."
667,"Великий философ Фридрих Ницше был добрый и веселый человек.
Один раз он пошел в магазин за хлебом.
Толстая продавщица на хлебном отделе очень любила издеваться над добрым и веселым философом. Ницше терпеть ее не мог и часто называл тупой пиздой.
— Ну что, Ницше, — сказала толстая продавщица, завидев Фридриха. — За хлебом небось прискакал? Любишь хлебушек-то?
— Обожаю, — сдержанно ответил Ницше.
— А ты его пёк, чтобы вот так его жрать? — вкрадчиво спросила вдруг продавщица. — Ты вообще когда-нибудь пёк хлеб? А, Ницше?
— Я? Пёк хлеб? — переспросил Ницше.
— Ты в уши долбишься, Ницше?
— Нет, — сказал Ницше. — На оба вопроса — нет.
Великий философ умел быть лаконичным.
— Вот испеки сначала, а там поговорим, — триумфально закончила продавщица.
— Секундочку, — сказал Ницше. — Если я буду печь хлеб, то нахуя мне тогда, тупая ты пизда, покупать его у тебя?
— Меня, Ницше, твои запарки совершенно не ебут — спокойно парировала продавщица. — Делать мне больше нехуй, как вместе с тобой философствовать. Муку тебе продам. А хлеба — во, — продавщица показала мозолистый кукиш, для убедительности схватив себя за локоть.
Ницше задумался.
— А ты-то, — наконец произнес он, — ты-то сама хлеб пекла?
— Пекла, голубчик, пекла, — сказала продавщица. — Да я столько его выпекла, что ты бы всю жизнь ел, да еще и детям бы твоим осталось.
— У меня нет детей, — сообщил Ницше.
— Это пиздец какой-то, — сказала продавщица. — Детей у него нет, хлеб он печь не умеет и не хочет, а только и знает, что честных продавщиц заебывать.
— Это ты честная продавщица, что ли? — заинтересовался Ницше. — Да у тебя ебало как у Муссолини. У честных людей лица другие.
— А что Муссолини? Чем тебе теперь Муссолини не угодил? Да он, если хочешь знать, тоже хлеб пёк. Эх ты, Ницше.
Ницше неуверенно потоптался на месте.
— Ладно, хуй с ним — махнул он рукой. — Давай сюда свою муку.
— Запомни, Ницше: культура — это лишь тоненькая хлебная корочка над раскаленным хаосом, — довольно сказала продавщица. — Крепко запомни.
— Запомню, — сказал Ницше с ненавистью. — Крепко запомню.
На следующий день Ницше пришёл в тот же магазин.
— Чего тебе? — спросила продавщица.
— Муки давай, сквозь зубы ответил Ницше.
— Что, научился печь?
— Тебя, суку, забыл спросить. Давай муки.
— За такую грубость могу и скалкой по ебальнику… — промямлила продавщица.
— Давай муку, говорю.
Продавщица подала муку.
— А теперь жри.
— Что жрать?
— Муку жри.
— С какого перепугу? Сам жри.
— Я сказал жри, сказал Ницще и опустил продавщицу мордой в муку. — Что, нравится?
Продавщица покорно съела муку и посмотрела на философа испуганными глазами.
— Приятно, да? А я вчера целый вечер это говно жрал.
Ницше так и не научился печь хлеб.
#платина_б"
668,"Скачет Илья Муромец по пустыне, устал, силы на исходе, видит вдали оазис, вода и еда, и там же Змей Горыныч сидит. Илья Муромец достал свой меч и в бой с Змей Горынычем, бьётся два дня и две ночи с ним в жестоком бою, на третий день Змей Горыныч спрашивает у Богатыря, да что ж тебе надо от меня?
— Да пить я хочу!!!!!!
— Да пей, хули ты доебался-то?!"
669,"Затеял мужик капитальный ремонт и нанял под это дело двух рабочих - вроде нормальные, не бухают. Приезжает через две недели домой принимать работу, ходит - ну просто заебись всё сделано, не придерешься. Заходит в туалет, а там унитаз блять к потолку прихуячен! Он, естественно: это чё за хуйня? А работяга ему: эй, погоди ругаться, вот смотри! - разбегается, отталкивается от стены, хватается за края унитаза руками, подтягивает к нему свою жопу и начинает срать. Моча с говном, естественно, валятся сквозь ноги вниз, падают ему на спину, грудь и лицо, он отпускает руки, шлёпается в кучу собственного говна и говорит:
- Действительно, Вася, хуёво сделали - надо подправить"
670,"Это конечно не так давно было, но блять, чтобы потомки помнили.

Взяли пираты судно на абордаж, всю команду повязали, а капитану говорят, мол, показывай давай чего везешь. Ну кэп пожал плечами, говорит - пойдёмте. Спускаются вниз, а весь здоровенный трюм совершенно пуст, только одинокая свинья сидит посередине и хрюкает. Пираты охуели, ходят вокруг свиньи - ничего особенного, самая обычная, еще и воняет пиздец. Говорят капитану: - Ты ебанутый штоле? Нахуя свинью тут держишь, ее и на мясо-то посреди океана не пустишь, она жрёт только? 
Капитан плечами стоит пожимает. Пираты махнули на него рукой, повытаскивали у команды с карманов что было ценного, и отчалили.
А капитан спустился в трюм, штаны снял, ебёт свинью и приговаривает:
 - Во дураки! Свинья - охуенная тема!"
671,"Стоят школьники за школой и курят. Подходит к ним учитель и спрашивает: 
—Так, а ну-ка признавайтесь, из какого вы класса!
— Буржуазия."
672,"Как-то я забыл про это боянище
Созвал царь американца, немца и русского и говорит:
— Кто море говна на своей машине переедет, тому дочку в жёны и полцарства в придачу.
Американец на Форде до середины доехал — утонул. Немец на БМВ 2/3 проехал — утонул. А русский говорит:
— Почему ты вообще нами командуешь? Ты какой страны царь? Как получилось, что американец и немец одновременно должны тебя слушать? А что твой народ скажет, если ты полцарства отдашь человеку, который просто проедет по говну на машине? Пиздец, ты вообще, блядь, как царём стал?"
673,"В цирке конферансье объявляет номер: 
— Мальчик с феноменальной памятью!! Встречайте!!
Все радуются, аплодируют. На арену выходит очкарик.
Конферансье: 
— Сейчас этот вундеркинд обоссыт всех сидящих в первом ряду!!
Сидящие в первом ряду срываются с мест и бегут занимать места в других рядах.
Конферансье:
— Разбегаться бесполезно, у мальчика феноменальная память."
674,"Приходит советский разведчик в парижское бистро, заказывает чашку чая, сидит, пьет. Тут подбегает к нему официант и говорит:
- О! Мсье русский шпион!
Ну, наш, понятно, сконфужен, как ты, спрашивает он официанта, узнал, что я - шпион?! 
- О, мсье положил сахару в чашку, размешал ложечкой, да так с
ложечкой в стакане и пьет!
Ну, в следующий раз чекист, умудренный опытом, заказал чаю, положил сахару, размешал, а ложечку так аккуратненько об край стряхнул, сидит и пьет чай без ложки. Тут опять к нему подскакивает официант:
-О, говорит, а мсье - русский шпион! 
- Ну что за дела???!! Как ты, шельма, узнал? 
- О, мсье положил сахару в чашку, размешал ложечкой, так аккуратненько ложечку вытащил, взял чашку, а большим пальцем как будто ложку придерживает!... 
Ну, в другой раз приходит чекист, отточенными движениями вытаскивает ложку, берет чашку так изысканно двумя пальцами, мизинец оттопыря, пьет, значит, чай, как вдруг опять официант: 
- О, мсье - русский шпион! 
Ну, чекист звереет, как ты, говорит, теперь-то догадался???!! 
А официант ему отвечает:
- Ты, блядь, дебил сука, 3 раз сюда уже приходишь, я, блядь тя запомнил уже на ебало, дебил ёбаный! ТЫ БЛЯДЬ ПО-РУССКИ СО МНОЙ ГОВОРИШЬ!!!!!! ТЫ ВКУРСЕ БЛЯДЬ, ЧТО У ТЕБЯ ИЗ-ЗА ПАЗУХИ БУТЫЛКА ВОДКИ, БЛЯ! ТЫ, БЛЯДЬ, В ВАЛЕНКАХ!!!
#половинанеочень"
675,"Едут два ковбоя по прерии. Вдруг видят - говно на дороге лежит.
Один другому и говорит:
— Слушай, Джо. Давай ты прямо сейчас съешь это говно, а я дам тебе 100$?
— Замётано, Билл, - отвечает Джо и с жадностью съедает говно. Билл даёт ему 100$, едут дальше. Вдруг — опять на дороге говно. Джо стало обидно за себя и он говорит:
— Билл, спорим, что ты не съешь вот это говно койота даже за 100$?
— Запросто, - сказал Билл и съел говно, за что тут же получил 100$. Едут дальше. Но Билл что-то загрустил.
— Ты чего невесел, Билл? - спрашивает его Джо.
— Да ты знаешь, Джо, меня не оставляет ощущение, что мы с тобой только что бесплатно наелись говна."
676,"Один еврейский мальчик очень любил читать. Он читал всё, что попадалось ему под руку, и обожал ходить в свой любимый книжный магазин. Однажды он понял, что прочёл уже всё, что там продавалось. Мальчик спросил хозяина, есть ли в магазине что-нибудь, чего он никогда не видел. Хозяин сказал, что есть, и достал книгу под названием ""Смерть"". Он охотно продал её со скидкой, всего за 10 шекелей.

Однако он предупредил мальчика, чтобы тот никогда не открывал первую страницу. Мальчик вернулся домой, прочитал книгу и остался доволен. Но ему всегда хотелось узнать, что же там, на первой странице. Однажды искушение стало слишком сильным, и он пролистал книгу к самому началу, и уронил её в УЖАСЕ.
На первой странице было написано: ""Рекомендуемая цена - 5 шекелей"""
677,"Умирает старый богатый корсиканец. Собралась семья, ждут, кого же старик объявит наследником. По старой доброй корсиканской традиции все должен унаследовать самый ленивый. Умирающий слабым голосом:
— Доминик, сын мой, подойди ко мне. Доминик подходит.
— Сынок, представь, что ты сидишь и видишь, как ветер гонит купюру в 500 франков. Что ты сделаешь?
— Не сдвинусь с места, папа. Зачем мне лишний раз утомляться?
— Золотые слова, мой мальчик. Ступай. Паоло, подойди. Подходит Паоло.
— Паоло, обнаженная страстная красавица тянет к тебе руки. Что ты сделаешь?
— Не пошевелюсь. К чему напрягаться лишний раз?
— Прекрасный ответ, сынок. Ступай. Антонио, подойди.
— Сам подойди."
678,"Мать послала сына на базар продать петуха. Пацан взял петуха, приходит на рынок и первой попавшейся тётке говорит:
- Тёть, купи петуха!
- Сколько?
- Двадцать пять!
Ну та посмотрела, видит, петух ничё так и отвечает:
- Ну ладно, только у меня сейчас денег с собой нет, пойдём ко мне домой, там я тебе заплачу.
Пришли они к ней домой, та дала ему денег, вдруг звонок в дверь. Она говорит:
- Слушай, это мой муж пришёл, а ты всё-таки почти мужчина, он может неправильно понять, короче, полезай в шкаф.
Пацан залез в шкаф, тётка открывает дверь - а там любовник. Ну она, ессесно, про парня забыла, пошла заниматься любовью. Через некоторое время опять звонок в дверь, та любовнику:
- Чёрт, теперь точно муж, давай быстро в шкаф!
Любовник залез в шкаф, пришел действительно муж. Тут парень любовнику шепчет:
- Дядь, купи петуха.
- Да иди ты, на хрен он мне сдался!
- Дядь, купи петуха, а то закричу!
Ну, делать нечего, заплатил мужик, стоит с петухом, а пацан снова шепчет:
- Дядь, отдай петуха!
- Ты чего, охренел, я же только что у тебя его купил!
- Дядь, отдай петуха, а то закричу! 
Что делать, пришлось отдать. Пацан снова:
- Дядь, купи петуха.
Так продолжалось, пока не ушёл муж. Парень приходит с петухом домой, половину денег матери, половину себе. Приходит отец, а мальчик ему в шутку:
- Пап, купи петуха!
- Пошёл на хуй, в шкафу заебал!"
